,Nº,NJ,Denominación,"%
Producción
Total","Cantidad
de
Juicios ","%
(Créditos/
Activos)","%
[(Dispon.+ Invers.) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers. + Inmuebles) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers.+ Inmueb.) /
(Deudas c/Aseg.+ Comp.Técn.)]","% 
(Inversiones + Inmuebles) /
Activos","%
Superávit /
Capital Requerido","[(Dispon.+ Invers.) /
Compromisos Exigibles]",Fecha,Categoría
0,1.0,A,ACE,0.854463036954012,733,50.9501529447806,259.875066211847,259.875066211847,129.683336182603,40.9221846831279,180.347244535877,10.364931582706,03/2017,Patrimoñales y Mixta
1,2.0,A,AFIANZADORA,0.0900721900964117,23,48.9391179807304,0.0,0.0,260.836788486101,48.0665450600352,10.0434256358348,0.0,03/2017,Patrimoñales y Mixta
2,3.0,C,AGROSALTA,0.0960899844117247,2859,72.4239915510253,192.90731914659,201.257024950185,126.605086431043,24.5323372762544,0.0,73.1226697273642,03/2017,Patrimoñales y Mixta
3,4.0,A,ALBA,0.050619505861373,44,58.6135336690708,223.904718044823,226.449148185044,152.093603409178,26.8758454282945,126.493037037037,14.778805824023,03/2017,Patrimoñales y Mixta
4,5.0,A,ALLIANZ,2.83384981568211,3324,30.0791758281523,169.776849986981,170.076879833963,134.058605571994,66.0954593918478,120.981275025037,8.29660843198059,03/2017,Patrimoñales y Mixta
5,6.0,A,ANTÁRTIDA,0.0847927865151408,767,45.0983128033848,53.7874030832139,72.9715433253951,123.141010781036,20.8156099728895,-29.697197824221,1.04975220402582,03/2017,Patrimoñales y Mixta
6,7.0,A,ARGOS,0.0403859575647434,1273,13.8852548067972,115.444891075019,117.767465239519,126.392723023059,71.520635376442,49.6365777777778,15.255909276632,03/2017,Patrimoñales y Mixta
7,8.0,A,ASEGURADORA TOTAL,0.272528916171534,1072,17.7436002810697,123.60291795034,128.54186340986,108.823211601622,60.4859500828918,9.06173862722295,22.57904322313,03/2017,Patrimoñales y Mixta
8,9.0,A,ASEGURADORES DE CAUCIONES,0.0983745274458394,65,58.1614674648948,319.537677586983,323.938441751743,105.041192346621,27.8066449996603,2.11382153531623,2.49294035378619,03/2017,Patrimoñales y Mixta
9,10.0,C,ASOCIACIÓN MUTUAL DAN,0.0102365183567158,0,9.49348173024657,0.0,0.0,0.0,83.5705757906643,300.598666666667,0.0,03/2017,Patrimoñales y Mixta
10,11.0,A,ASOCIART RC,0.00529864743997438,14,5.67384075276763,771.031169360914,771.031169360914,582.209379224116,93.4715536506246,306.817922222222,20.7735536486054,03/2017,Patrimoñales y Mixta
11,12.0,A,ASSEKURANSA,0.0192661648282423,4,33.2963578665799,655.903886099199,655.903886099199,394.478383604766,7.04345357224544,30.3778611111111,0.0,03/2017,Patrimoñales y Mixta
12,13.0,A,ASSURANT,0.922654300303442,39,40.293095057866,502.343383064521,502.343383064521,188.183041286198,56.5194669861836,78.4736329972945,28.699729794239,03/2017,Patrimoñales y Mixta
13,14.0,A,BBVA CONSOLIDAR,0.827834388892241,265,41.0674801862829,507.036525576975,516.003013944271,181.794505218526,58.352399947272,232.712139239541,0.0,03/2017,Patrimoñales y Mixta
14,15.0,A,BENEFICIO,0.0307986598115696,4,49.6268125814746,460.063664730159,460.063664730159,199.452092798507,29.4746224057267,31.6655801805932,13.8408485131072,03/2017,Patrimoñales y Mixta
15,16.0,A,BERKLEY,0.553239023568161,659,20.7279981088517,320.166053409944,335.861759494992,250.166039963333,76.7100508729841,290.485530055,17.8533566901236,03/2017,Patrimoñales y Mixta
16,17.0,C,BERNARDINO RIVADAVIA,2.69630654468431,10489,34.9212203582302,148.177755416607,148.601563105607,109.468900497118,62.5839860787349,166.54091864607,119.464891948362,03/2017,Patrimoñales y Mixta
17,18.0,A,BHN,0.231942280261223,7,32.5267600939664,0.0,0.0,405.554735813637,66.2454542004069,143.432063365887,3.57970543055911,03/2017,Patrimoñales y Mixta
18,19.0,A,BOSTON,0.579359704292198,2706,43.5782073362756,98.2971697060323,111.693968648439,86.3826084395577,43.3420247845746,2.1846434762013,13.4192054163306,03/2017,Patrimoñales y Mixta
19,20.0,A,BRADESCO,0.0,27,0.645323578860058,0.0,0.0,0.0,14.8301213267057,284.599422222222,48.3337098919297,03/2017,Patrimoñales y Mixta
20,21.0,O,CAJA DE TUCUMÁN,0.211596746739509,771,5.99590322906772,169.669258331397,169.669258331397,154.207431202576,81.3502190974617,253.266653899648,69.3087071864163,03/2017,Patrimoñales y Mixta
21,22.0,A,CAJA GENERALES,5.87405609739556,16648,22.5746248571581,131.136710895022,132.705109605393,121.434298623226,72.8239387674844,21.9505416734884,18.5366281652235,03/2017,Patrimoñales y Mixta
22,23.0,A,CALEDONIA,0.239976788722911,106,72.6135052874239,44.4018187325489,44.4018187325489,38.09038233414,16.3132325436257,-106.469318210504,4.08750383672784,03/2017,Patrimoñales y Mixta
23,24.0,A,CAMINOS PROTEGIDOS,0.0291006692968542,51,18.4682989011232,295.747773472581,295.747773472581,328.712917417163,55.1638124385777,64.9828796296296,88.5485783185777,03/2017,Patrimoñales y Mixta
24,25.0,A,CARDIF,0.954693430230935,32,22.5163596545677,675.119051271649,675.119051271649,271.309368573994,74.8072665391119,75.4028466555118,32.1359596005153,03/2017,Patrimoñales y Mixta
25,26.0,A,CARUSO,0.34510857499493,246,5.54338242734882,712.408571287945,712.408571287945,592.426066719078,87.7821332152226,372.085153634228,56.1350396194632,03/2017,Patrimoñales y Mixta
26,27.0,A,CESCE,1.86619693804865e-05,5,44.5469071882632,0.0,0.0,0.0,48.0498069107554,1.97837777777778,0.0,03/2017,Patrimoñales y Mixta
27,28.0,A,CNP,0.274718021274877,21,10.4081489091731,0.0,0.0,239.422917739301,82.2218051359545,131.215848803005,21.7159500740544,03/2017,Patrimoñales y Mixta
28,29.0,E,COFACE,0.0393060121249096,2,36.1960408304916,371.309364730562,371.309364730562,129.358711339558,59.1357148514236,333.211489965139,14.5807526743534,03/2017,Patrimoñales y Mixta
29,30.0,A,COLON,0.132745914229872,0,21.8208567824213,610.011507235861,610.011507235861,233.357111543779,71.6260882265269,85.0293847780136,0.0,03/2017,Patrimoñales y Mixta
30,31.0,A,COMARSEG,0.0,0,3.12671872371153,0.0,0.0,0.0,96.4011922180412,100.133716666667,20.2425097597491,03/2017,Patrimoñales y Mixta
31,32.0,A,CONFIAR,0.00366370007821392,0,8.96251853459228,0.0,0.0,0.0,88.9629681753013,0.232630303030303,67.3824218426072,03/2017,Patrimoñales y Mixta
32,33.0,A,CONFLUENCIA,2.93883496474266e-07,0,1.82663040401473,0.0,0.0,0.0,90.2213659362843,14.0636055555556,141.907310248339,03/2017,Patrimoñales y Mixta
33,34.0,A,CONSTRUCCIÓN,0.177638205654551,92,34.0879841212148,200.629420496082,259.495884180342,228.012987019966,53.2442293109311,11.8489716798157,12.9890967498368,03/2017,Patrimoñales y Mixta
34,35.0,C,COOP. MUTUAL PATRONAL,0.535950293520218,561,32.0751203754162,162.610903310354,163.78085769788,119.250599671851,60.9081933503322,125.484405170558,63.6421122043433,03/2017,Patrimoñales y Mixta
35,36.0,C,COPAN,0.0929814934433024,560,34.7696742541687,127.576499775823,136.891513521309,107.394462367522,47.1199638983376,43.6047740740741,18.4773940402675,03/2017,Patrimoñales y Mixta
36,37.0,A,COSENA,0.0367943162504475,6,49.036292074358,440.612994289485,440.612994289485,211.121888427019,15.0002252009371,1.51685555555556,0.0,03/2017,Patrimoñales y Mixta
37,38.0,A,CREDITO Y CAUCION,0.045505492197476,0,43.766486050433,829.389525544582,829.389525544582,247.55417478407,49.4013339446327,83.2159904249459,0.0,03/2017,Patrimoñales y Mixta
38,39.0,A,CRÉDITOS Y GARANTÍAS,0.112570639907714,55,59.0820733438579,134.471933120627,134.471933120627,106.578484821553,38.4602562556263,126.657875555556,54.1978879984956,03/2017,Patrimoñales y Mixta
39,40.0,C,DULCE,0.0557373113570832,0,38.0154549979132,0.0,0.0,0.0,38.4413293393791,175.518205531021,0.0,03/2017,Patrimoñales y Mixta
40,41.0,A,EQUITATIVA DEL PLATA,0.21731416567191,471,37.802116145268,145.338272170922,152.960441681719,110.792547974811,40.7042837259988,40.8729709188377,24.5850400165503,03/2017,Patrimoñales y Mixta
41,42.0,A,ESCUDO,0.286183020770278,1779,59.5544138929509,54.8644943085959,71.6186011432396,67.4349014309284,27.0078214441646,-75.4200250083302,4.05756288600357,03/2017,Patrimoñales y Mixta
42,43.0,A,EUROAMÉRICA,0.000874827249343407,0,9.188895054366,0.0,0.0,0.0,90.2876319264559,15.5482222222222,0.0,03/2017,Patrimoñales y Mixta
43,44.0,A,FED. PATRONAL,7.25950600231362,32910,17.5406044252145,161.371357529907,161.522282462735,134.243995506625,77.6459351026568,27.3735937844305,104.844425237249,03/2017,Patrimoñales y Mixta
44,45.0,A,FIANZAS Y CRÉDITO,0.11876071460633,6,78.7481668515235,617.326505003905,617.326505003905,86.213820857853,16.6389244188279,73.8115111111111,0.0,03/2017,Patrimoñales y Mixta
45,46.0,A,FINISTERRE,0.0061731947652874,0,7.78508183994317,0.0,0.0,0.0,76.448828333206,28.0881476190476,0.0,03/2017,Patrimoñales y Mixta
46,47.0,A,GALICIA,1.21716793111757,70,43.5508741552456,382.706621529866,385.930679194296,204.358330091293,49.7741433777265,15.9784598338445,43.1092345978716,03/2017,Patrimoñales y Mixta
47,48.0,A,GENERALI,0.113231360907181,781,50.1229115723976,116.830074806205,116.830074806205,84.2733025167998,38.9757374233513,36.1038857142857,12.6120567402372,03/2017,Patrimoñales y Mixta
48,49.0,A,HAMBURGO,0.147436847885973,269,25.4825411732551,226.620965762004,230.009548222507,164.159733489215,18.7489805856537,123.093502127846,0.0,03/2017,Patrimoñales y Mixta
49,50.0,A,HANSEATICA,0.0401168377937452,4,49.929490576388,279.524841307709,279.524841307709,157.935840061251,26.1014072210247,111.546108333333,14.5696131187835,03/2017,Patrimoñales y Mixta
50,51.0,A,HDI,0.40464351832343,3717,38.268937822927,153.977913376268,163.990260613497,113.087507160525,56.4803912379315,36.2637998104788,7.49728432159594,03/2017,Patrimoñales y Mixta
