,Nº,NJ,Denominación,ProducciónTotal,CantidaddeJuicios,(Créditos/Activos),(Dispon.+Invers.)/Deudasc/Aseg.,(Dispon.+Invers.+Inmuebles)/Deudasc/Aseg.,(Dispon.+Invers.+Inmueb.)/(Deudasc/Aseg.+Comp.Técn.),(Inversiones+Inmuebles)/Activos,Superávit/CapitalRequerido,(Dispon.+Invers.)/CompromisosExigibles,Fecha,Categoría,% Mercado
0,1.0,A,AFIANZADORA,0.08687808625007715,25.0,48.55416667119704,402.6665249652323,402.6665249652323,181.03617367813945,46.774303584502505,78.31611507256908,0.0,2018-06,Patrimoniales y Mixtas,0.13
1,2.0,C,AGROSALTA,0.08577703050305832,3323.0,66.76459965034077,178.07704246075878,178.07704246075878,155.611324889791,30.899751869127968,294.1131172252959,80.67084871232213,2018-06,Patrimoniales y Mixtas,0.12
2,3.0,A,ALBA,0.05707011957432646,86.0,59.0397351751766,362.26253443923565,365.43573521114183,153.04459009707122,27.467349924996164,74.12464191670621,246.05816552825334,2018-06,Patrimoniales y Mixtas,0.08
3,4.0,A,ALLIANZ,2.512092022486998,3396.0,30.9159557517141,153.46100102714004,153.58199625406732,125.10572754543017,65.95596798751097,115.00991449168374,13.431324201896379,2018-06,Patrimoniales y Mixtas,3.64
4,5.0,A,ANTÁRTIDA,0.12452409652797924,799.0,53.44436944731642,48.39707417022242,113.77936363375471,115.30033390363424,31.288845859930625,-109.78648916185918,1.0794114823027128,2018-06,Patrimoniales y Mixtas,0.18
5,6.0,A,ARGOS,0.03432767655965101,1102.0,11.49784753527814,126.5379382296947,128.42950184496638,126.96579398997055,76.90351473560185,5.131305555555556,9.868523262432577,2018-06,Patrimoniales y Mixtas,0.05
6,7.0,A,ASEGURADORA TOTAL,0.32653602450445346,1381.0,17.660504984544136,121.9637524632722,124.99037535906616,107.5253941537886,81.7959056817533,0.9079834053539635,25.53539260278113,2018-06,Patrimoniales y Mixtas,0.47
7,8.0,A,ASEGURADORES DE CAUCIONES,0.10394124173324489,52.0,59.43466766548797,415.9543117401539,419.4500180844052,116.83524927543418,23.736836967343777,4.161066538930572,4.636362513854872,2018-06,Patrimoniales y Mixtas,0.15
8,9.0,C,ASOCIACIÓN MUTUAL DAN,0.01414587500629776,0.0,10.787688611916149,0.0,0.0,0.0,76.35664609534703,540.2971,0.0,2018-06,Patrimoniales y Mixtas,0.02
9,10.0,A,ASOCIART RC,0.003822828012294434,14.0,3.7599736202127287,972.5503497390719,972.5503497390719,741.5965762286553,94.88791995980546,377.83892777777777,21.97670849517246,2018-06,Patrimoniales y Mixtas,0.01
10,11.0,A,ASSEKURANSA,0.02104186538051402,8.0,31.27953021248518,787.1324234871539,787.1324234871539,480.92212468691207,9.009002075252612,6.5097962962962965,0.0,2018-06,Patrimoniales y Mixtas,0.03
11,12.0,A,ASSURANT,0.6194437567020823,49.0,19.245699073400168,785.4155118905412,785.4155118905412,341.5759957564141,79.05270251973394,224.05874570570833,41.59563638662183,2018-06,Patrimoniales y Mixtas,0.9
12,13.0,A,BBVA CONSOLIDAR,0.6926541523787857,286.0,47.24625312249555,443.4296488479965,443.4296488479965,154.30233196921208,51.46839952092014,178.2079647353532,262.26852736939895,2018-06,Patrimoniales y Mixtas,1.0
13,14.0,A,BENEFICIO,0.04010426770900294,11.0,45.62438967119265,594.278362587991,594.278362587991,306.86180314037,40.157270648976194,62.2608428450936,21.10993969798922,2018-06,Patrimoniales y Mixtas,0.06
14,15.0,A,BERKLEY,0.5438318229497218,648.0,18.677350650015438,412.9032412132981,420.26359887098346,302.26983974860605,78.31125747875281,386.07924955172945,25.25553776756986,2018-06,Patrimoniales y Mixtas,0.79
