,Nº,NJ,Denominación,ProducciónTotal,CantidaddeJuicios,(Créditos/Activos),(Dispon.+Invers.)/Deudasc/Aseg.,(Dispon.+Invers.+Inmuebles)/Deudasc/Aseg.,(Dispon.+Invers.+Inmueb.)/(Deudasc/Aseg.+Comp.Técn.),(Inversiones+Inmuebles)/Activos,Superávit/CapitalRequerido,(Dispon.+Invers.)/CompromisosExigibles,Fecha,Categoría,Mercado
0,1.0,C,ARGOS MUTUAL,0.021646076970363654,4121.0,21.8109026778772,212.7863238758724,213.6872334202883,213.1297633551698,77.84709803816003,313.48119445637184,22.52955593842674,2018-06,Transporte Público Pasajeros,9.96
1,2.0,C,GARANTÍA MUTUAL,0.012449308598749553,1064.0,6.1489020618089025,496.8462776465099,496.8462776465099,507.7067094728769,89.2789397662631,637.9531941428563,79.29868889162185,2018-06,Transporte Público Pasajeros,5.73
2,3.0,C,METROPOL MUTUOS,0.022592664151137348,3443.0,14.881119466840959,158.9540457438831,158.9540457438831,158.4172454199902,81.58931161096939,51.27589557135918,253.19616213957843,2018-06,Transporte Público Pasajeros,10.39
3,4.0,C,MUTUAL RIVADAVIA,0.06248160751861047,7369.0,15.156246340157528,453.40074468195064,478.37210018848754,444.77452160859264,83.27653577448538,651.6557817101103,154.85415789354263,2018-06,Transporte Público Pasajeros,28.74
4,5.0,C,PROTECCIÓN MUTUAL,0.09824438413323867,12951.0,15.794529427849147,147.47461691471665,151.95655286715717,161.7154467241475,72.9128588440151,77.1345797911639,10.282481992169618,2018-06,Transporte Público Pasajeros,45.19
5,1.0,C,ARGOS MUTUAL,0.02141174198993087,4162.0,24.93405475585399,195.98418040415348,196.96053279867274,196.4841267074626,74.68607500851896,255.42256872637944,35.38498472596517,2018-03,Transporte Público Pasajeros,9.95
6,2.0,C,GARANTÍA MUTUAL,0.011605077406952484,1089.0,6.455395393443776,455.156085062083,455.156085062083,471.6828881858992,87.624972192522,513.288570184256,87.46124809266281,2018-03,Transporte Público Pasajeros,5.39
7,3.0,C,METROPOL MUTUOS,0.021383549239448303,3377.0,19.808525136925155,143.1567712569115,143.1567712569115,142.72702257307134,73.05784668067885,24.488678022604326,27.225448325418647,2018-03,Transporte Público Pasajeros,9.93
8,4.0,C,MUTUAL RIVADAVIA,0.0622354038937658,7353.0,15.595561247207796,441.80825853002716,467.74012026047734,428.5781743085397,82.49413795971174,627.6432742160833,98.54332041394167,2018-03,Transporte Público Pasajeros,28.91
9,5.0,C,PROTECCIÓN MUTUAL,0.0986292198837733,12955.0,17.06847504452053,138.36661887711244,142.94657820403796,153.3644422703135,71.35108448831873,45.79262974905534,7.2507123044181485,2018-03,Transporte Público Pasajeros,45.82
10,1.0,C,ARGOS MUTUAL,0.0212504646416531,4202.0,23.3862994089705,206.98157525574993,208.04077843521353,207.56565096537568,76.2551810626778,272.261579688678,24.3914518753997,2017-12,Transporte Público Pasajeros,10.08
11,2.0,C,GARANTÍA MUTUAL,0.011009312167757,1148.0,7.35562452753009,475.88006523011234,475.88006523011234,494.6404385827036,86.9917670709102,482.198574055945,73.391896347852,2017-12,Transporte Público Pasajeros,5.22
12,3.0,C,METROPOL MUTUOS,0.0202886131119527,3321.0,21.9616075203145,125.11611508707699,125.11611508707699,124.79450247802697,77.1591160283088,-13.3485989956688,0.0,2017-12,Transporte Público Pasajeros,9.63
13,4.0,C,MUTUAL RIVADAVIA,0.0621461116861901,7380.0,16.4534006282113,425.0530397823127,452.65359200810485,412.55835924360713,81.9504814049881,587.960029098687,133.865930380028,2017-12,Transporte Público Pasajeros,29.49
14,5.0,C,PROTECCIÓN MUTUAL,0.0960207780882635,13127.0,17.0454264477386,140.82593858053914,145.88943489385952,158.12096194048382,67.9475413649404,46.2349751491762,10.7120536953723,2017-12,Transporte Público Pasajeros,45.57
15,1.0,C,ARGOS MUTUAL,0.0207486598086425,4178.0,22.7103808150842,209.203240470726,210.335455396028,209.849776593248,76.9335589210834,275.597312883006,28.3029497335197,2017-09,Transporte Público Pasajeros,10.23
16,2.0,C,GARANTÍA MUTUAL,0.00977708189206213,1152.0,6.35894010562526,494.810623908181,494.810623908181,521.570406683966,86.9203252134441,471.246525256009,48.6797430004837,2017-09,Transporte Público Pasajeros,4.82
17,3.0,C,METROPOL MUTUOS,0.0182751325155345,3543.0,21.4542576452625,106.565971770936,106.565971770936,106.34700276055,77.1537542212891,-75.7311319067124,0.0,2017-09,Transporte Público Pasajeros,9.01
18,4.0,C,MUTUAL RIVADAVIA,0.0608861320693604,7373.0,14.4502006814628,427.628035564159,456.244877513686,416.536948836274,84.4714508101417,587.654841685012,93.6670698441661,2017-09,Transporte Público Pasajeros,30.01
19,5.0,C,PROTECCIÓN MUTUAL,0.0931695571808683,13372.0,17.8171491788917,132.595655217637,137.551108230959,150.21165971237,68.1715308043592,32.8859363180272,6.48726290133565,2017-09,Transporte Público Pasajeros,45.93
