,Nº,NJ,Denominación,"%
Producción
Total","Cantidad
de
Juicios ","%
(Créditos/
Activos)","%
[(Dispon.+ Invers.) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers. + Inmuebles) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers.+ Inmueb.) /
(Deudas c/Aseg.+ Comp.Técn.)]","% 
(Inversiones + Inmuebles) /
Activos","%
Superávit /
Capital Requerido","[(Dispon.+ Invers.) /
Compromisos Exigibles]",Fecha,Categoría,% Mercado
0,1.0,A,ANTICIPAR,0.009359181961151071,0.0,15.432962308626468,391.0517578413972,789.9742922829141,789.9742922829141,78.06391533632305,22.728055555555557,0.0,06-2018,Seguros de Vida,0.26
1,2.0,A,ASV,0.0701651893778443,31.0,42.46642582613394,279.1310056502479,279.1310056502479,264.88146159336634,36.6275715762836,0.6466681320686545,3.8584150120128315,06-2018,Seguros de Vida,1.91
2,3.0,A,BHN VIDA,0.45079466006656776,22.0,11.295496991030285,0.0,0.0,761.2904197873695,88.20695815383363,323.3574701161066,8.930709543947222,06-2018,Seguros de Vida,12.3
3,4.0,A,BINARIA VIDA,0.23576688082302294,21.0,6.829942484007201,0.0,0.0,169.82002261183015,91.84059567485754,284.72214230789217,40.5683692588321,06-2018,Seguros de Vida,6.43
4,5.0,A,BONACORSI,0.017197553379692365,0.0,13.778200569427218,0.0,0.0,558.0573958123448,60.788469594473405,202.80166558187892,16.439457157200927,06-2018,Seguros de Vida,0.47
5,6.0,O,CAJA DE PREVISIÓN,0.010878012848765651,0.0,3.1360447323479117,0.0,0.0,0.0,95.5922011595196,0.0,0.0,06-2018,Seguros de Vida,0.3
6,7.0,A,CERTEZA,0.026080335949745563,0.0,21.61785357313807,934.3797218457576,934.3797218457576,962.2090023370868,69.33519432262361,239.0351421750919,145.82451387964622,06-2018,Seguros de Vida,0.71
7,8.0,A,CRUZ SUIZA,0.012968950383336838,0.0,48.197805576189545,0.0,0.0,270.87363801869515,38.98589275868391,33.75123333333334,0.0,06-2018,Seguros de Vida,0.35
8,9.0,A,DIGNA,0.00015819706976374535,0.0,4.7760931104485485,0.0,0.0,0.0,94.37841427743786,130.7280888888889,0.0,06-2018,Seguros de Vida,0.0
9,10.0,A,FEDERADA,0.0017093874400564354,0.0,16.231000460773856,0.0,0.0,344.660595715947,83.29426731221193,26.71086153846154,0.0,06-2018,Seguros de Vida,0.05
10,11.0,A,HSBC VIDA,0.37401256509220254,136.0,7.098061741630916,0.0,0.0,114.18065143807054,92.24554877182007,68.90293731501394,148.93213275171212,06-2018,Seguros de Vida,10.2
11,12.0,A,INSTITUTO SALTA,0.16543340831059747,11.0,17.52028465526638,817.8029958243183,933.3482106739376,667.9916316665535,75.07755691821298,211.7985179640042,24.017205723657163,06-2018,Seguros de Vida,4.51
12,13.0,A,INTERNACIONAL,0.0,135.0,3.8870312157366165,355.64237348342147,355.64237348342147,355.64237348342147,95.98139081954237,702.301775,0.0,06-2018,Seguros de Vida,0.0
13,14.0,A,MAÑANA,0.15234839727858673,0.0,49.24855821663051,232.80257901325916,251.16384735511699,449.0806593491443,13.417428350818303,26.96509769112972,5.4552432660618715,06-2018,Seguros de Vida,4.16
14,15.0,A,MAPFRE VIDA,0.1589004385432075,212.0,36.8947191913445,200.92105121440517,200.92105121440517,128.09050356998625,57.87095941193664,75.204869115626,4.941907670642173,06-2018,Seguros de Vida,4.33
15,16.0,A,NSA,-9.205855560608236e-06,0.0,5.379914832477701,0.0,0.0,0.0,93.80318818725138,11.645822222222222,0.0,06-2018,Seguros de Vida,-0.0
16,17.0,A,OMINT,3.8714967312022653e-07,0.0,3.2089185085248126,0.0,0.0,0.0,95.4444736286711,20.768958333333334,0.0,06-2018,Seguros de Vida,0.0
17,18.0,A,PEUGEOT CITROËN,0.08929740028072551,0.0,15.36612974183992,377.08343113289067,377.08343113289067,377.08343113289067,84.2094546099887,99.64072451742273,24.314373216561023,06-2018,Seguros de Vida,2.44
18,19.0,A,PIEVE,0.0483365427082953,0.0,8.632268102390322,471.1560836078921,471.1560836078921,222.89265436125572,79.39292415592588,30.813047669171855,0.0,06-2018,Seguros de Vida,1.32
19,20.0,A,PLENARIA,0.08148084749042889,0.0,6.816547307547278,288.4792565803115,292.6510539907985,283.82470059271185,91.85395030849472,172.10782206084016,0.0,06-2018,Seguros de Vida,2.22
20,21.0,A,POR VIDA,0.0,0.0,0.7384284331688692,0.0,0.0,0.0,25.856149078848702,1.5785777777777776,15.766855451971109,06-2018,Seguros de Vida,0.0
21,22.0,A,PREVISORA,0.0010096842708326374,0.0,0.3830844313851846,0.0,0.0,0.0,18.130278978556017,57.564977777777784,91.30902394795386,06-2018,Seguros de Vida,0.03
22,23.0,A,PROVINCIA VIDA,0.16209213575171416,6.0,2.0767555480086406,0.0,0.0,144.23725441953394,97.33557900736133,22.654029316765445,620.5246047335772,06-2018,Seguros de Vida,4.42
23,24.0,A,PRUDENTIAL,0.5308651491844628,10.0,1.7403868365774542,0.0,0.0,112.29377247612253,96.13701276990298,30.209876591447195,67.02783976678188,06-2018,Seguros de Vida,14.48
24,25.0,A,SAN GERMAN,0.002319673274777438,0.0,55.91082072237153,0.0,0.0,0.0,2.350211817445684,0.5768,43.55425833333334,06-2018,Seguros de Vida,0.06
25,26.0,A,SAN PATRICIO,0.0,2.0,2.523422373204942,0.0,0.0,0.0,79.46823098803293,103.20204444444445,0.0,06-2018,Seguros de Vida,0.0
26,27.0,A,SANTA LUCIA,0.008246641367162499,0.0,41.756497118436656,736.5829952642707,0.0,305.26269205036283,55.73759532327182,97.6292888888889,33.76613003716997,06-2018,Seguros de Vida,0.22
27,28.0,A,SANTÍSIMA TRINIDAD,0.005780536516020761,0.0,0.005102904627988229,0.0,0.0,0.0,86.63606867853542,23.507088888888887,0.0,06-2018,Seguros de Vida,0.16
28,29.0,A,SEGUNDA PERSONAS,0.20552929697334169,181.0,37.467085572353284,210.17309711314346,210.17309711314346,114.71512280999501,57.52498579396958,201.15615479822443,613.9940026335704,06-2018,Seguros de Vida,5.61
29,30.0,A,SENTIR,0.028405076880244254,0.0,20.767255129609204,0.0,0.0,0.0,1.2277295472244756,57.39863888888889,0.0,06-2018,Seguros de Vida,0.77
30,31.0,A,SMG VIDA,0.2938068658051354,182.0,9.819607184495933,0.0,0.0,188.4586199042721,83.4137510706184,35.692327525266755,17.431398910187532,06-2018,Seguros de Vida,8.01
