,Nº,NJ,Denominación,"%
Producción
Total","Cantidad
de
Juicios ","%
(Créditos/
Activos)","%
[(Dispon.+ Invers.) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers. + Inmuebles) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers.+ Inmueb.) /
(Deudas c/Aseg.+ Comp.Técn.)]","% 
(Inversiones + Inmuebles) /
Activos","%
Superávit /
Capital Requerido","[(Dispon.+ Invers.) /
Compromisos Exigibles]",Fecha,Categoría,% Mercado
0,1.0,A,BINARIA RETIRO,0.025378279325842173,50.0,1.8181185654158036,0.0,0.0,114.8976707803813,97.94505494953317,165.58398394083363,541.479702100657,2018-06,Seguros de Retiro,1.42
1,2.0,A,CREDICOOP RETIRO,0.011052614088012294,30.0,2.9047526569250177,0.0,0.0,122.87949479677664,96.06638711916091,384.7595672670749,86.43497908663242,2018-06,Seguros de Retiro,0.62
2,3.0,A,ESTRELLA RETIRO,1.2096857050432865,58.0,0.9146463194558446,0.0,0.0,106.92902242874973,98.73387131134271,24.64193288158256,271.8948691836005,2018-06,Seguros de Retiro,67.85
3,4.0,A,EXPERTA RETIRO,0.0,6.0,2.2467337333416535,0.0,0.0,145.37542492617249,93.61017217725701,1.7255266666666669,907.6547240895324,2018-06,Seguros de Retiro,0.0
4,5.0,A,FED. PATRONAL RETIRO,0.0003194895569139554,1.0,3.1094758447737925,0.0,0.0,976.8637969198538,91.49362697737995,6.457746666666667,0.0,2018-06,Seguros de Retiro,0.02
5,6.0,A,GALICIA RETIRO,2.596038808102043e-05,0.0,3.819429491542856,0.0,0.0,135.13108939753607,95.40798764480436,22.19255,561.2174142123097,2018-06,Seguros de Retiro,0.0
6,7.0,A,HSBC RETIRO,0.09382951883081554,0.0,2.166880339027238,0.0,0.0,121.22256313112587,97.745617830481,329.82620332455514,47.38922992942892,2018-06,Seguros de Retiro,5.26
7,8.0,A,INST. ENTRE RÍOS RETIRO,0.01909544948391974,4.0,1.2537740364121865,0.0,0.0,132.98779601804148,88.11207056329651,167.65431,0.0,2018-06,Seguros de Retiro,1.07
8,9.0,A,METLIFE  RETIRO,0.0027485170393610077,554.0,4.975894035397445,0.0,0.0,118.07322373614171,94.99725700302751,232.2332657616489,236.6816871166334,2018-06,Seguros de Retiro,0.15
9,10.0,A,NACIÓN RETIRO,0.16641497809850117,796.0,1.141922843700545,0.0,0.0,120.68110437108773,98.58935806399842,262.5567758682391,107.5817459752932,2018-06,Seguros de Retiro,9.33
10,11.0,A,ORÍGENES RETIRO,0.1349303032717688,2574.0,3.1607039545045756,0.0,0.0,105.57870876518814,96.36490284594889,35.17239172580851,124.20607409726189,2018-06,Seguros de Retiro,7.57
