,Nº,NJ,Denominación,"%
Producción
Total","Cantidad
de
Juicios ","%
(Créditos/
Activos)","%
[(Dispon.+ Invers.) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers. + Inmuebles) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers.+ Inmueb.) /
(Deudas c/Aseg.+ Comp.Técn.)]","% 
(Inversiones + Inmuebles) /
Activos","%
Superávit /
Capital Requerido","[(Dispon.+ Invers.) /
Compromisos Exigibles]",Fecha,Categoría
0,1.0,A,AFIANZADORA,0.08348685781531305,23,50.81735136181352,0.0,0.0,217.95877498966175,45.50440448934225,88.63233882407752,0.0,03-2018,Patrimoñales y Mixta
1,2.0,C,AGROSALTA,0.08648641605141015,3389,70.52811119646076,168.77579628224657,168.77579628224657,127.2076590925033,26.053520721816987,0.0,80.89426636554981,03-2018,Patrimoñales y Mixta
2,3.0,A,ALBA,0.05759446150069222,86,60.16206140124858,317.70059321152434,320.5932095327107,152.6313829196217,26.893975575868247,6.101295038031005,33.533823079688176,03-2018,Patrimoñales y Mixta
3,4.0,A,ALLIANZ,2.4800799027260823,3412,28.563070932192996,156.19139459586393,156.3161099504053,129.72659538136455,68.45148378193699,77.71407729888736,22.2795819413858,03-2018,Patrimoñales y Mixta
4,5.0,A,ANTÁRTIDA,0.13077740618305989,818,56.494020719013506,46.48551332616337,118.9736488565194,122.76928290941652,27.244249199740427,-72.7844293997089,1.0956043596018807,03-2018,Patrimoñales y Mixta
5,6.0,A,ARGOS,0.0354306157745891,1137,12.957915875060161,119.52743316705624,121.64178730537516,127.3388652558995,73.6376706714895,20.129107407407407,21.375409779960357,03-2018,Patrimoñales y Mixta
6,7.0,A,ASEGURADORA TOTAL,0.3189208137262683,1273,15.846185305586735,130.8864894597101,134.38736139698952,114.96457110320976,82.85945555751957,25.179426810588808,130.16761433449503,03-2018,Patrimoñales y Mixta
7,8.0,A,ASEGURADORES DE CAUCIONES,0.10117680900736899,53,59.06635103942146,426.70596712903614,431.0856003792161,109.61138389988332,25.12249816494188,3.629051851851852,2.644152192089156,03-2018,Patrimoñales y Mixta
8,9.0,C,ASOCIACIÓN MUTUAL DAN,0.01174623766960892,0,8.612905961301495,0.0,0.0,0.0,78.9027637817139,622.0764777777778,0.0,03-2018,Patrimoñales y Mixta
9,10.0,A,ASOCIART RC,0.003608165825503366,18,3.4932380251403146,915.2644907075323,915.2644907075323,733.908001912979,95.37300039438045,382.72195,22.105633358638492,03-2018,Patrimoñales y Mixta
10,11.0,A,ASSEKURANSA,0.0210876234123321,7,27.032275028612833,989.3425814234017,989.3425814234017,548.2558582240054,10.823287473306248,11.02744074074074,0.0,03-2018,Patrimoñales y Mixta
11,12.0,A,ASSURANT,0.6263352337699696,47,20.309702661634155,650.5856489757689,650.5856489757689,273.9454368588768,76.670497274414,158.9267599757526,18.1438200319972,03-2018,Patrimoñales y Mixta
12,13.0,A,BBVA CONSOLIDAR,0.7152578346192249,281,48.12637577214699,421.9758080515136,421.9758080515136,147.81912455140665,50.289124350527395,158.63515089501095,66.96743509317898,03-2018,Patrimoñales y Mixta
13,14.0,A,BENEFICIO,0.03871033696674019,11,50.109878990266765,525.293037879456,525.293037879456,256.17761959749663,35.48528412446051,50.04269192728547,13.998177342876152,03-2018,Patrimoñales y Mixta
14,15.0,A,BERKLEY,0.5371371510327468,657,19.341633058817383,373.8095794679813,381.4265343384295,280.4373446686072,77.26986289874365,330.5374073059262,30.459384257291376,03-2018,Patrimoñales y Mixta
15,16.0,C,BERNARDINO RIVADAVIA,2.8485152270460454,11011,32.52511165008964,159.95886966801405,160.2810192689879,120.28003900913329,64.11646606798722,220.12016714852246,117.97734701248302,03-2018,Patrimoñales y Mixta
16,17.0,A,BHN,0.2606827561086007,8,28.31031086408446,0.0,0.0,499.4593975161476,70.43167656364113,166.33957549268789,3.4104490136011103,03-2018,Patrimoñales y Mixta
17,18.0,A,BOSTON,0.566629564871577,2718,35.706366935321874,110.2751135945568,121.1386753546634,95.82512038806809,51.91874268893763,0.5169802065747051,8.301711439603068,03-2018,Patrimoñales y Mixta
18,19.0,A,BRADESCO,0.0,24,0.6255366090810064,0.0,0.0,0.0,10.824122873200686,283.5919666666667,22.064702993076992,03-2018,Patrimoñales y Mixta
19,20.0,O,CAJA DE TUCUMÁN,0.22382332607876607,874,7.604222939393631,178.7032118854475,178.7032118854475,162.05068248148876,83.81354600099364,291.2261950281153,74.45067194682647,03-2018,Patrimoñales y Mixta
20,21.0,A,CAJA GENERALES,5.767442678334394,16372,18.354604257171438,140.6829425863192,141.53420255167245,130.68937532995065,77.49077022957756,37.227853253021756,21.442234405488502,03-2018,Patrimoñales y Mixta
21,22.0,A,CALEDONIA,0.2461070847006937,239,64.11812788234646,72.97024512876457,72.97024512876457,64.3825531284068,15.579474966714743,-206.31444578570859,105.56035438124648,03-2018,Patrimoñales y Mixta
22,23.0,A,CAMINOS PROTEGIDOS,0.03384256676203934,60,10.958727966734013,601.6324527971792,601.6324527971792,454.37973566581616,63.807511516812156,96.38766296296296,103.80095532222255,03-2018,Patrimoñales y Mixta
23,24.0,A,CARDIF,0.7481768687397913,41,18.804271564627832,682.5554368108633,682.5554368108633,262.0081062639947,78.16798058555612,66.17913543344373,66.8561142354233,03-2018,Patrimoñales y Mixta
24,25.0,A,CARUSO,0.3546451605592448,243,5.7594213559554746,804.0954532440841,804.0954532440841,652.6592986011394,88.38869830016772,201.41550506652172,261.6222527234911,03-2018,Patrimoñales y Mixta
25,26.0,A,CESCE,5.680197329209333e-06,5,30.883991198660883,0.0,0.0,0.0,47.43976551764061,50.430811111111105,0.0,03-2018,Patrimoñales y Mixta
26,27.0,A,CHUBB SEGUROS,0.8362909585174376,806,44.960953810163694,281.74359756111687,281.74359756111687,148.73580263695214,45.771818572823406,227.37060366518924,5.372392299581457,03-2018,Patrimoñales y Mixta
27,28.0,A,CNP,0.24936521119617897,21,9.743366793653466,0.0,0.0,227.20970391139565,84.89527652930012,120.69325131211104,9.017568725504047,03-2018,Patrimoñales y Mixta
28,29.0,E,COFACE,0.030109328635962013,1,40.5456522738335,404.0320919042363,404.0320919042363,125.63378877019163,53.33559662301762,348.78429536338354,17.979986336982755,03-2018,Patrimoñales y Mixta
29,30.0,A,COLON,0.08655893965287381,1,22.3355256210046,554.3213396919739,554.3213396919739,339.8389006489929,68.79201721827648,85.39319555555555,126.65628860172639,03-2018,Patrimoñales y Mixta
